writing_id,topic_id,task_topic,task_type,RAG_specificity,RAG_specificity_raw,RAG_helpfulness,RAG_helpfulness_raw,RAG_validity,RAG_validity_raw,Baseline_specificity,Baseline_specificity_raw,Baseline_helpfulness,Baseline_helpfulness_raw,Baseline_validity,Baseline_validity_raw,One-shot_specificity,One-shot_specificity_raw,One-shot_helpfulness,One-shot_helpfulness_raw,One-shot_validity,One-shot_validity_raw
254,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.2,"[2, 2, 2, 3, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.6,"[2, 2, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
380,8,Making a dinner party menu,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.8,"[3, 4, 4, 4, 4]",3.6,"[4, 3, 4, 4, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
453,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
603,2,Taking inventory in the office,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.4,"[2, 2, 3, 2, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
604,3,Writing an online profile,narrative,4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.4,"[3, 4, 3, 3, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
692,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",2.4,"[2, 2, 3, 2, 3]",2.8,"[2, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.8,"[4, 4, 3, 4, 4]",3.0,"[3, 3, 3, 3, 3]"
694,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.8,"[4, 4, 4, 4, 3]",3.8,"[4, 4, 4, 3, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
943,7,Writing labels for a clothing store,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
1123,1,Introducing yourself by email,narrative,2.8,"[3, 3, 2, 3, 3]",1.0,"[1, 1, 1, 1, 1]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.2,"[2, 2, 2, 3, 2]",3.0,"[3, 3, 3, 3, 3]",4.6,"[5, 4, 5, 5, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
1134,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
1239,3,Writing an online profile,narrative,4.0,"[4, 4, 4, 4, 4]",3.8,"[4, 4, 4, 4, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
1435,4,Describing your family in an email,descriptive,3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.4,"[2, 2, 3, 3, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
1455,4,Describing your family in an email,descriptive,3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",1.8,"[2, 2, 2, 1, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
1736,7,Writing labels for a clothing store,descriptive,3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.6,"[3, 3, 3, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]"
2172,3,Writing an online profile,narrative,4.0,"[4, 4, 4, 4, 4]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.8,"[3, 3, 3, 2, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.2,"[3, 3, 3, 3, 4]"
2698,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",2.6,"[3, 2, 3, 3, 2]",2.0,"[2, 2, 2, 2, 2]",3.4,"[3, 4, 3, 3, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
2797,1,Introducing yourself by email,narrative,3.0,"[3, 3, 3, 3, 3]",2.8,"[2, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
2839,6,Signing up for a dating website,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
2875,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.2,"[2, 2, 2, 3, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
2888,2,Taking inventory in the office,descriptive,4.0,"[4, 4, 4, 4, 4]",3.2,"[3, 3, 3, 3, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",3.8,"[3, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
3092,1,Introducing yourself by email,narrative,2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.6,"[3, 3, 3, 2, 2]",2.0,"[2, 2, 2, 2, 2]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
3094,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",2.6,"[2, 3, 3, 2, 3]",2.4,"[2, 2, 3, 2, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.8,"[3, 3, 2, 3, 3]",2.2,"[2, 2, 3, 2, 2]",3.0,"[3, 3, 3, 3, 3]"
3154,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]",4.0,"[4, 4, 4, 4, 4]"
3188,4,Describing your family in an email,descriptive,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.2,"[2, 2, 2, 2, 3]",2.2,"[3, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]"
3387,5,Updating your online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
3390,8,Making a dinner party menu,descriptive,2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.6,"[2, 2, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.6,"[3, 3, 3, 2, 2]",4.0,"[4, 4, 4, 4, 4]",3.8,"[3, 4, 4, 4, 4]",3.0,"[3, 3, 3, 3, 3]"
3493,5,Updating your online profile,narrative,2.8,"[3, 3, 3, 2, 3]",3.0,"[3, 3, 3, 3, 3]",2.6,"[3, 3, 3, 2, 2]",3.0,"[3, 3, 3, 3, 3]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.8,"[4, 4, 4, 4, 3]",3.0,"[3, 3, 3, 3, 3]",4.0,"[4, 4, 4, 4, 4]"
3551,1,Introducing yourself by email,narrative,2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.8,"[3, 3, 3, 3, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
3788,3,Writing an online profile,narrative,3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",2.8,"[3, 3, 2, 3, 3]",2.2,"[2, 3, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",2.0,"[2, 2, 2, 2, 2]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]",3.0,"[3, 3, 3, 3, 3]"
